 id_mutation;valeur_fonciere;adresse_numero;adresse_code_voie;id_parcelle;code_type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain
2019-417959;455000.0;25.0;195;94079000AE0030;1;117.0;5.0;nan
2019-417674;430000.0;61.0;910;94079000AE0069;1;113.0;6.0;488.0
2019-417478;150000.0;37.0;280;94079000AE0306;1;91.0;4.0;258.0
2019-417248;390000.0;31.0;195;94079000AE0035;1;61.0;3.0;507.0
2019-417247;697500.0;3.0;400;94079000AE0387;1;150.0;5.0;434.0
2019-417127;299000.0;49.0;910;94079000AE0396;None;nan;nan;476.0
2019-416616;293000.0;34.0;910;94079000AE0318;1;76.0;3.0;528.0
2019-416616;293000.0;34.0;910;94079000AE0319;None;nan;nan;100.0
2019-416574;265000.0;25.0;280;94079000AE0332;1;77.0;3.0;nan
2019-416574;265000.0;25.0;280;94079000AE0332;3;nan;0.0;nan
2019-416423;465000.0;33.0;660;94079000AE0011;1;138.0;5.0;417.0
2019-416608;375000.0;33.0;510;94079000AE0160;1;126.0;5.0;484.0
2019-416113;355000.0;13.0;660;94079000AE0022;1;22.0;5.0;432.0
2019-415868;259000.0;56.0;910;94079000AE0209;1;54.0;3.0;400.0
2018-1237926;154000.0;4.0;400;94079000AE0285;1;136.0;4.0;480.0
2018-1237538;803000.0;3.0;1160;94079000AE0341;1;208.0;1.0;743.0
2018-1237521;439200.0;21.0;600;94079000AE0365;1;98.0;4.0;nan
2018-1237081;335000.0;45.0;510;94079000AE0120;1;59.0;3.0;444.0
2018-1236687;395850.0;60.0;660;94079000AE0133;1;71.0;3.0;564.0
2018-1236670;550000.0;26.0;220;94079000AE0375;1;91.0;2.0;400.0
2018-1236670;550000.0;26.0;220;94079000AE0375;1;91.0;2.0;657.0
2018-1236310;190000.0;26.0;190;94079000AE0185;1;50.0;2.0;nan
2018-1234920;450000.0;24.0;600;94079000AE0350;1;160.0;4.0;368.0
2018-1234808;519000.0;75.0;660;94079000AE0092;1;150.0;5.0;681.0
2018-1234808;519000.0;75.0;660;94079000AE0092;1;150.0;5.0;278.0
2018-1234402;505000.0;23.0;1160;94079000AE0250;1;130.0;5.0;456.0
2018-1234183;329500.0;2.0;220;94079000AE0332;1;66.0;3.0;nan
2018-1234183;329500.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2018-1233750;335000.0;2.0;220;94079000AE0332;1;73.0;3.0;nan
2018-1233750;335000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2017-1356417;600000.0;44.0;660;94079000AE0391;1;325.0;10.0;nan
2017-1355492;572000.0;37.0;910;94079000AE0347;1;168.0;6.0;480.0
2017-1355401;400000.0;73.0;660;94079000AE0090;1;87.0;4.0;480.0
2017-1355577;262000.0;18.0;600;94079000AE0355;1;58.0;3.0;300.0
2017-1355287;300000.0;19.0;400;94079000AE0237;1;56.0;3.0;769.0
2017-1355034;290000.0;54.0;910;94079000AE0210;1;59.0;3.0;400.0
2017-1354964;480000.0;26.0;1160;94079000AE0279;1;120.0;5.0;483.0
2017-1354799;287000.0;27.0;280;94079000AE0332;1;66.0;3.0;nan
2017-1354799;287000.0;27.0;280;94079000AE0332;3;nan;0.0;nan
2017-1354489;256000.0;15.0;190;94079000AE0152;1;56.0;3.0;421.0
2017-1353761;440000.0;29.0;280;94079000AE0331;1;100.0;4.0;610.0
2017-1353597;189000.0;10.0;1160;94079000AE0320;1;48.0;2.0;nan
2017-1353339;355000.0;51.0;510;94079000AE0117;1;107.0;4.0;404.0
2017-1353191;420000.0;66.0;660;94079000AE0130;1;65.0;3.0;521.0
2017-1352423;365000.0;4.0;220;94079000AE0334;1;86.0;4.0;nan
2017-1352323;760000.0;37.0;195;94079000AE0040;1;109.0;3.0;1462.0
2017-1352323;760000.0;37.0;195;94079000AE0040;4;270.0;0.0;1462.0
2017-1352224;440000.0;98.0;195;94079000AE0116;1;70.0;3.0;425.0
2017-1352101;273000.0;2.0;220;94079000AE0332;1;90.0;4.0;nan
2017-1352101;273000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2016-1195314;235000.0;19.0;1160;94079000AE0233;1;35.0;3.0;260.0
2016-1195056;390000.0;4.0;190;94079000AE0205;1;112.0;7.0;480.0
2016-1194054;390000.0;5.0;190;94079000AE0147;1;104.0;4.0;265.0
2016-1193922;180000.0;86.0;195;94079000AE0100;1;62.0;3.0;422.0
2016-1193896;445000.0;18.0;1160;94079000AE0304;1;125.0;6.0;610.0
2016-1193718;435000.0;50.0;600;94079000AE0389;1;100.0;5.0;189.0
2016-1193401;408000.0;22.0;400;94079000AE0245;1;145.0;5.0;479.0
2016-1193527;475000.0;87.0;660;94079000AE0103;1;106.0;5.0;381.0
2016-1193068;410000.0;25.0;910;94079000AE0329;1;110.0;5.0;337.0
2016-1192194;263000.0;56.0;660;94079000AE0135;1;54.0;4.0;406.0
2016-1192023;488000.0;32.0;910;94079000AE0317;1;163.0;5.0;533.0
2016-1191861;281000.0;12.0;1160;94079000AE0309;1;138.0;6.0;nan
2016-1191514;177000.0;19.0;600;94079000AE0361;1;47.0;3.0;198.0
2016-1191514;177000.0;19.0;600;94079000AE0361;1;47.0;3.0;198.0
2015-1108912;646000.0;41.0;195;94079000AE0047;2;136.0;5.0;350.0
2015-1108912;646000.0;41.0;195;94079000AE0047;4;126.0;0.0;350.0
